"subject","Gender","Age","Income","Education","Country","FinancialLiteracy","condition","response"
"R_2c8ybwsShS1ZH98","Female","38","More than 60000 €","22","Austria",2,"Stranger",1
"R_2WHIGrLSpYatAZU","Female","49","More than 60000 €","18","Austria",3,"Stranger",1
"R_Xv1yCIjapbQc7jb","Female","32","20000 € - 30000 €","14","Austria",2,"Stranger",1
"R_XLnHy34yyPFT4XL","Female","18","Less than 20000€","12","Austria",3,"Stranger",1
"R_1Qc1ylA0KVSc8vk","Female","31","Less than 20000€","12","Austria",3,"Stranger",1
"R_2QXMwmvsxnxHFt2","Female","24","Less than 20000€","8","Austria",3,"Stranger",1
"R_2SAA6G0EggPrOwd","Male","34","Less than 20000€","12","Austria",4,"Stranger",1
"R_3CQ0hj1F413OZX2","Male","24","Less than 20000€","18","Austria",3,"Stranger",1
"R_2ar7FmuHr7d4K9V","Female","22","Less than 20000€","13","Austria",3,"Stranger",1
"R_27xNPuELJRwkqK2","Female","22","20000 € - 30000 €","16","Austria",3,"Stranger",1
"R_vNbJboIEnSZafnP","Female","26","More than 60000 €","18","Austria",3,"Stranger",0
"R_3e93y0QsTvgesM2","Female","68","Less than 20000€","11","Austria",1,"Stranger",1
"R_1F9P99aUmPYThss","Female","37","Less than 20000€","18","Austria",4,"Stranger",1
"R_R84IzhMLtUYhgGt","Female","47","More than 60000 €","12","Austria",1,"Stranger",0
"R_1P7uvD8rgWJb8XC","Male","50","More than 60000 €","22","Austria",3,"Stranger",1
"R_1odLwOzaLWVZZsW","Male","34","20000 € - 30000 €","12","Austria",2,"Stranger",0
"R_1gBJtlbV3s4YqTj","Male","39","30000 € - 40000 €","16","Austria",3,"Stranger",1
"R_1M5Nt8LaNZ3Ye8v","Male","19","20000 € - 30000 €","12","Austria",2,"Stranger",1
"R_AngQ9ZAhDmYhyGl","Female","35","Less than 20000€","13","Austria",2,"Stranger",1
"R_10Gi8ntoeoH0rJ0","Female","27","Less than 20000€","21","Austria",2,"Stranger",0
"R_26hzl2y1qZyuTqk","Female","29","40000 € - 50000 €","12","Austria",3,"Stranger",1
"R_POmKasYjB2knT2x","Male","41","30000 € - 40000 €","19","Austria",2,"Stranger",1
"R_3hioYBbjM9Sn6wK","Female","30","20000 € - 30000 €","22","Austria",3,"Stranger",0
"R_1JDCxvoxcvIV7bQ","Male","30","Less than 20000€","24","Austria",3,"Stranger",1
"R_1JPkEHFivLhqjP6","Female","34","50000 € - 60000 €","18","Austria",3,"Stranger",1
"R_2sci3ihyuEz6nYu","Male","31","More than 60000 €","19","Austria",4,"Stranger",1
"R_31SDrK9MuWLLYYV","Male","63","40000 € - 50000 €","18","Austria",4,"Stranger",1
"R_1mOU7f2PtGhIamw","Male","23","20000 € - 30000 €","14","Austria",3,"Stranger",1
"R_1LZ4yK9oSBVsFmi","Male","41","More than 60000 €","15","Austria",4,"Stranger",1
"R_33ez5FqrrFOEddn","Female","24","Less than 20000€","18","Austria",2,"Stranger",1
"R_0VZ6UbQ2qRnjRkt","Male","24","Prefer not to answer","9","Austria",3,"Stranger",1
"R_1LIplwhbr9Ss26I","Female","29","20000 € - 30000 €","22","Austria",3,"Stranger",0
"R_2yeBltImc8PsyUy","Female","23","Less than 20000€","18","Austria",0,"Stranger",1
"R_1DU6FOvzjLF7oVn","Female","33","More than 60000 €","17","Austria",3,"Stranger",1
"R_2ZK6udDlQyzDxVW","Female","22","Less than 20000€","14","Austria",2,"Stranger",0
"R_27Btsu4LDEsCJ99","Female","27","Less than 20000€","22","Austria",2,"Stranger",1
"R_DuAwJUQmpuzjwAN","Female","28","40000 € - 50000 €","14","Austria",2,"Stranger",1
"R_1IKKQCVGOyvnyau","Male","25","Less than 20000€","16","Austria",3,"Stranger",1
"R_242bWxaodIS6uC7","Female","21","Less than 20000€","16","Austria",2,"Stranger",1
"R_2sbXAgTdqP9sotm","Male","24","20000 € - 30000 €","17","Austria",4,"Stranger",1
"R_eaPZh97cGsyobcd","Male","40","50000 € - 60000 €","13","Austria",4,"Stranger",1
"R_vkjyWbrd1MhsnSx","Male","26","Less than 20000€","18","Austria",3,"Stranger",1
"R_1rwYqp65YMFaOXY","Male","27","30000 € - 40000 €","16","Austria",3,"Stranger",1
"R_1Hk8esY8vAIhNCG","Male","35","30000 € - 40000 €","13","Austria",3,"Stranger",0
"R_1CJVwxSpRQsysXy","Female","31","50000 € - 60000 €","18","Austria",4,"Stranger",0
"R_TgRBWKcBvhPMDBv","Non-binary / third gender","27","20000 € - 30000 €","19","Austria",4,"Stranger",1
"R_2y9gCcyVnhbXiLy","Female","40","50000 € - 60000 €","16","Austria",4,"Stranger",1
"R_30kLkRe4TxfplMw","Male","39","More than 60000 €","13","Austria",3,"Stranger",1
"R_271AkGtX2UHHD95","Male","30","30000 € - 40000 €","22","Austria",3,"Stranger",1
"R_UzJlYDrsPAdKUFj","Female","25","Less than 20000€","18","Austria",2,"Stranger",0
"R_3qfhV41AeOhMBoA","Female","23","20000 € - 30000 €","14.5","Austria",2,"Stranger",0
"R_31T86Y6Bvld3K7z","Female","65","Less than 20000€","11","Austria",2,"Stranger",1
"R_1kOblTGlxVfXNU2","Female","37","Less than 20000€","16","Austria",1,"Stranger",1
"R_3iJqWZnTxsi2ARe","Female","63","40000 € - 50000 €","15","Austria",3,"Stranger",1
"R_1LYDjswOAFTbD3a","Male","27","More than 60000 €","22","Austria",3,"Stranger",1
"R_SIhwpQI9IytbCOl","Female","23","Prefer not to answer","15","Austria",4,"Stranger",1
"R_32Q4UE6467KBgPb","Female","32","40000 € - 50000 €","17","Austria",2,"Stranger",0
"R_1GPPaWV7YbIzZH9","Female","25","Less than 20000€","13","Austria",2,"Stranger",1
"R_RKwL9sFnMEudf5n","Female","26","Less than 20000€","18","Austria",3,"Stranger",0
"R_OJN8WGTmtpfXv7r","Female","26","Prefer not to answer","17","Austria",2,"Stranger",1
"R_UbQVZ7zVgBjocsV","Male","25","Less than 20000€","19","Austria",3,"Stranger",0
"R_2TUaIrNZ5R0JH3G","Female","32","30000 € - 40000 €","13","Austria",3,"Stranger",0
"R_1HpYJsHEzecYCAw","Female","44","20000 € - 30000 €","12","Austria",2,"Stranger",1
"R_3DkCmqnqWZlZOyS","Male","31","30000 € - 40000 €","12","Austria",3,"Stranger",1
"R_21AMDNokMRoAUNB","Male","30","30000 € - 40000 €","9","Austria",3,"Stranger",1
"R_seePf1cEXVxyGxX","Female","25","20000 € - 30000 €","19","Austria",4,"Stranger",0
"R_ehZ3e3LoVaWGKXL","Male","38","More than 60000 €","17","Austria",3,"Stranger",1
"R_2EovLyjGG5EMSnL","Female","21","Less than 20000€","12","Austria",4,"Stranger",1
"R_3lMQkzPitEUiLaF","Male","48","More than 60000 €","19","Austria",4,"Stranger",0
"R_8uFlp8itUqKNxTj","Female","42","20000 € - 30000 €","18","Austria",3,"Stranger",1
"R_1MLqxTiSglel5JW","Female","55","30000 € - 40000 €","20","Austria",4,"Stranger",1
"R_1qTYqmlYir4KJoL","Non-binary / third gender","25","20000 € - 30000 €","20","Austria",0,"Stranger",1
"R_24AfAfrg43B4RJW","Male","34","20000 € - 30000 €","11","Austria",4,"Stranger",1
"R_2TYs3CpRviw0tbh","Female","37","20000 € - 30000 €","15","Austria",3,"Stranger",1
"R_2YEs8RB1wPOFxby","Female","40","30000 € - 40000 €","13","Austria",3,"Stranger",1
"R_1M0ollZY96rSFGO","Female","25","Less than 20000€","19","Austria",4,"Stranger",1
"R_1q3zM5y9vTKNYMN","Female","30","20000 € - 30000 €","18","Austria",4,"Stranger",1
"R_3iVkGZLKpimpDEO","Female","28","20000 € - 30000 €","20","Austria",3,"Stranger",0
"R_PH6VObesjTEctoZ","Female","22","Less than 20000€","16","Austria",3,"Stranger",1
"R_3dSPe0HgY8njdJA","Female","40","20000 € - 30000 €","17","Austria",3,"Stranger",1
"R_1LByWHkE6lG0B6H","Male","45","More than 60000 €","20","Austria",3,"Stranger",1
"R_0PViXsWvwfsX9IJ","Female","29","20000 € - 30000 €","17","Austria",3,"Stranger",1
"R_74cWj49cxi4U0x3","Female","36","50000 € - 60000 €","22","Austria",3,"Stranger",1
"R_3PLJbxYs5ZdN11u","Female","23","Less than 20000€","15","Austria",3,"Stranger",1
"R_qQKAFcjZtKVgXzb","Female","23","Less than 20000€","16","Austria",3,"Stranger",1
"R_1JIta6ul9MRGwS4","Female","34","30000 € - 40000 €","25","Austria",1,"Stranger",1
"R_BrBSsOGSuOrcStj","Female","26","20000 € - 30000 €","20","Austria",3,"Stranger",1
"R_1gubDbKT8BZyl2i","Female","39","20000 € - 30000 €","14","Austria",2,"Stranger",1
"R_3GsauwEF9xwLSnp","Female","40","20000 € - 30000 €","13","Austria",3,"Stranger",1
"R_3LklZVUNpgNKmGp","Female","47","40000 € - 50000 €","12","Austria",2,"Stranger",1
"R_2rpa9wQQhGvx13K","Male","19","More than 60000 €","14","Austria",3,"Stranger",1
"R_PIgtd9g3KDAkWfT","Male","36","50000 € - 60000 €","20","Austria",3,"Stranger",0
"R_2qFamcgnGdWCaHw","Female","47","More than 60000 €","27","Austria",3,"Stranger",1
"R_3iCiyZ2fLQYoKLI","Male","28","Less than 20000€","19","Austria",3,"Stranger",1
"R_22CVmEtY3Nhukdi","Male","25","20000 € - 30000 €","18","Austria",4,"Stranger",1
"R_DUi2sOsjol9mFO1","Female","24","30000 € - 40000 €","15","Austria",2,"Stranger",1
"R_24co84ZTtnzPEUQ","Female","21","Prefer not to answer","15","Austria",3,"Stranger",1
"R_2ZVoWotkv0tLyeq","Female","30","Less than 20000€","18","Austria",2,"Stranger",0
"R_2CxGrLxqnr9IsoJ","Female","62","30000 € - 40000 €","17","Austria",4,"Stranger",0
"R_3FVx6qhT5YGqxfa","Female","22","20000 € - 30000 €","17","Austria",3,"Stranger",1
"R_248evxMs9ikz14j","Female","32","20000 € - 30000 €","18","Austria",3,"Stranger",1
"R_3QXY2rMpmWNyov9","Male","19","20000 € - 30000 €","10","Austria",3,"Stranger",1
"R_1HhOF0rhkILMI5z","Female","26","20000 € - 30000 €","19","Austria",4,"Stranger",0
"R_2SBvA5SwMIzcmqy","Female","34","Less than 20000€","15","Austria",3,"Stranger",1
"R_1jeKLV4dZ7OuRuM","Female","34","More than 60000 €","18","Austria",3,"Stranger",0
"R_cvX6XL4hG1xCmqt","Female","32","30000 € - 40000 €","12","Austria",1,"Stranger",1
"R_yUQWGuI2HEwij8l","Male","26","Prefer not to answer","13","Austria",3,"Stranger",1
"R_3LiqZLvp6EPBPa0","Female","41","More than 60000 €","19","Austria",2,"Stranger",1
"R_237ttpH59fxUFOT","Female","59","20000 € - 30000 €","9","Austria",0,"Stranger",1
"R_2rve5hX2xPcfl4T","Female","35","20000 € - 30000 €","9","Austria",3,"Stranger",1
"R_1H62z5qM5S2TFVM","Male","27","More than 60000 €","17","Austria",4,"Stranger",1
"R_1gHCmDdWE78Lh45","Female","58","40000 € - 50000 €","17","Austria",3,"Stranger",0
"R_1OxUKAckenr5nTD","Female","20","Less than 20000€","14","Austria",2,"Stranger",0
"R_O273HKVe4iY2Myl","Female","20","Less than 20000€","14","Austria",3,"Stranger",1
"R_11Xt8NNCUQlz5y6","Female","31","30000 € - 40000 €","18","Austria",4,"Stranger",1
"R_AiLMAR6JbHzYq7T","Female","35","50000 € - 60000 €","17","Austria",2,"Stranger",1
"R_2xGhfiUk3BMGAEv","Female","57","20000 € - 30000 €","15","Austria",4,"Stranger",1
"R_3PsCgXVYZdRbHlv","Male","23","Less than 20000€","15","Austria",3,"Stranger",1
"R_AsQhpZFPnLzQh9v","Male","22","Less than 20000€","16","Austria",4,"Stranger",1
"R_25tMSZPEalKg0Ku","Female","59","40000 € - 50000 €","18","Austria",2,"Stranger",0
"R_eldKo7TFPJf5hQZ","Male","32","30000 € - 40000 €","25","Austria",4,"Stranger",1
"R_XvuygHmCQh9k2nn","Female","23","Less than 20000€","15","Austria",1,"Stranger",1
"R_12yXYUbz7BkUi0G","Male","45","30000 € - 40000 €","15","Austria",0,"Stranger",1
"R_3De9mejg6cxR9wJ","Male","24","Less than 20000€","15","Austria",3,"Stranger",0
"R_pyfZEeEuK9eETYt","Male","24","Less than 20000€","16","Austria",3,"Stranger",0
"R_2VvyiFAl4du2Rh1","Male","26","Less than 20000€","18","Austria",2,"Stranger",0
"R_2ToeLVnjGa9HS5N","Female","28","20000 € - 30000 €","17","Austria",3,"Stranger",1
"R_3Mb1ud2tQVZxmFb","Male","24","Prefer not to answer","17","Austria",3,"Stranger",1
"R_2E60x16CnFtLT3c","Male","30","20000 € - 30000 €","9","Austria",2,"Stranger",1
"R_emt5psRuecqD9Jf","Male","31","20000 € - 30000 €","21","Austria",3,"Stranger",1
"R_1Ow3a187SVwh3sb","Female","25","20000 € - 30000 €","19","Austria",2,"Stranger",0
"R_3meFplNWBE0nS8p","Male","25","Less than 20000€","18","Austria",4,"Stranger",0
"R_2Qy76R6ZSOrZhH1","Female","20","Less than 20000€","14","Austria",4,"Stranger",1
"R_6KGl9lsqDZQTY3L","Female","21","Less than 20000€","15","Austria",2,"Stranger",1
"R_33fGYrDHsRLi7tM","Male","20","20000 € - 30000 €","12","Austria",2,"Stranger",1
"R_RDdzzxBolxRskzD","Female","25","Less than 20000€","17","Austria",3,"Stranger",1
"R_3q9hmOtJVYA53vw","Female","27","Less than 20000€","20","Austria",1,"Stranger",1
"R_12LSz9uFp0FpAzp","Female","23","Less than 20000€","17","Austria",3,"Stranger",1
"R_3D2r7UB2GVw5mOo","Prefer not to say","21","Prefer not to answer","15","Austria",0,"Stranger",1
"R_3ehmYIGdUCqbDjX","Female","22","Less than 20000€","8","Austria",2,"Stranger",0
"R_3PjAqLoIyibuXuE","Male","25","30000 € - 40000 €","13","Austria",1,"Stranger",1
"R_2Yn9ODDN7EGpYrF","Female","22","Less than 20000€","15","Austria",3,"Stranger",0
"R_sHlvHsPshvzgzZv","Male","24","20000 € - 30000 €","12","Austria",2,"Stranger",1
"R_11jVPb0wTYmIy6k","Female","24","30000 € - 40000 €","9","Austria",0,"Stranger",1
"R_3CPgpNMX8pbyP3B","Female","38","20000 € - 30000 €","22","Austria",4,"Stranger",1
"R_2CB9lg3dAG545Jo","Non-binary / third gender","23","Less than 20000€","9","Austria",2,"Stranger",1
"R_b1nEo9uOqxYP37X","Female","35","20000 € - 30000 €","10","Austria",2,"Stranger",1
"R_1CmfEWy2RPEI84E","Male","19","Less than 20000€","12","Austria",2,"Stranger",0
"R_12AATmTuIuwX4bC","Female","29","20000 € - 30000 €","10","Austria",3,"Stranger",1
"R_1opzcFoQX96z6Bw","Female","47","Less than 20000€","13","Austria",2,"Stranger",0
"R_uh4oxraQjcMeUQV","Female","30","Less than 20000€","21","Austria",1,"Stranger",1
"R_W236lqhuIEdcj7j","Female","23","Prefer not to answer","17","Austria",2,"Stranger",1
"R_3DiOs88rn4N1H0d","Male","27","30000 € - 40000 €","19","Austria",3,"Stranger",0
"R_1jp8BkUdAtqTPdX","Female","24","Less than 20000€","9","Austria",3,"Stranger",0
"R_3edVifqrKyjcbOl","Female","30","20000 € - 30000 €","8","Austria",3,"Stranger",1
"R_2TLu5gaIQGKl6TM","Female","22","Less than 20000€","8","Austria",2,"Stranger",0
"R_2Yy8BrdIjRnKfrM","Female","23","Less than 20000€","16","Austria",2,"Stranger",1
"R_yt0gx7zcDzlObOp","Female","40","30000 € - 40000 €","14","Austria",2,"Stranger",1
"R_2ZHqFNkEeDuKJ6V","Female","31","Less than 20000€","9","Austria",3,"Stranger",1
"R_1pSBDkbdlX9byP8","Female","29","20000 € - 30000 €","4","Austria",1,"Stranger",1
"R_1mDl0ZAivCpxiU9","Female","22","Less than 20000€","16","Austria",2,"Stranger",1
"R_xErN6lCesT0Ul3j","Female","20","Prefer not to answer","13","Austria",2,"Stranger",0
"R_2fdiHlzbxubzi8B","Female","23","20000 € - 30000 €","14","Austria",2,"Stranger",1
"R_XtzUu9i3Zp0LsRj","Female","30","20000 € - 30000 €","15","Austria",3,"Stranger",1
"R_1FDppyOIPc1FUVm","Male","30","20000 € - 30000 €","20","Austria",2,"Stranger",1
"R_RhlRMiJjlznTe0N","Female","30","20000 € - 30000 €","12","Austria",0,"Stranger",1
"R_2aE8OQ2Ezo5yIu1","Female","24","20000 € - 30000 €","18","Austria",3,"Stranger",1
"R_RnyQG9IP8ZXBks1","Female","35","Less than 20000€","20","Austria",2,"Stranger",1
"R_3lrkNSSBbfK2KdW","Female","25","Prefer not to answer","17","Austria",3,"Stranger",1
"R_2eXPYdfCiIxpGsJ","Male","25","20000 € - 30000 €","18","Austria",3,"Stranger",1
"R_1QSNzIhkGmSZAMp","Female","24","Less than 20000€","17","Austria",3,"Stranger",1
"R_uzjX1fvyM4twnEB","Female","24","Less than 20000€","18","Austria",2,"Stranger",1
"R_11cngFihuZtQEti","Female","25","40000 € - 50000 €","16","Austria",2,"Stranger",1
"R_3HRetemAtiOqKvx","Male","26","Less than 20000€","18","Austria",2,"Stranger",1
"R_2wgF5tDV4HVTftL","Female","27","Less than 20000€","17","Austria",3,"Stranger",1
"R_125veBZbsZdZtab","Male","25","20000 € - 30000 €","10","Austria",2,"Stranger",0
"R_3irSRIH4boiJmGi","Male","22","20000 € - 30000 €","13","Austria",3,"Stranger",1
"R_3hcIe6HDcNOuxpu","Female","26","Less than 20000€","18","Austria",3,"Stranger",1
"R_3oZpPipWfwv7miI","Male","29","30000 € - 40000 €","16","Austria",4,"Stranger",1
"R_2VwOHPp3ofZujUt","Female","34","50000 € - 60000 €","18","Austria",3,"Stranger",0
"R_2E48ODqj2omjxDD","Female","19","Less than 20000€","13","Austria",1,"Stranger",1
"R_29mMgwXBiL64XWF","Female","20","Less than 20000€","14","Austria",1,"Stranger",1
"R_1nMVFcbuXzHDGcq","Female","18","Prefer not to answer","12","Austria",0,"Stranger",1
"R_SNc1eAvMvVRJ9wl","Female","19","Prefer not to answer","12","Austria",0,"Stranger",0
"R_2Sl7tdJnyu5HctZ","Male","19","Less than 20000€","12","Austria",0,"Stranger",1
"R_3L5agpIoOjxzetQ","Male","21","Less than 20000€","14","Austria",3,"Stranger",0
"R_2tCZ89TdrR6wckv","Male","23","Less than 20000€","17","Austria",3,"Stranger",1
"R_RXHjqQV6jksyS77","Male","31","20000 € - 30000 €","20","Austria",3,"Stranger",1
"R_3Jn4Mm0mXQ3lVmT","Non-binary / third gender","31","20000 € - 30000 €","20","Austria",3,"Stranger",1
"R_1igvCAC4cTVsnzd","Female","33","30000 € - 40000 €","13","Austria",1,"Stranger",0
"R_2rUCvdyDd2s4amn","Female","22","Less than 20000€","16","Austria",3,"Stranger",1
"R_wZbAtcCpUC0PWXD","Female","50","20000 € - 30000 €","13","Austria",3,"Stranger",1
"R_O9Cy09ljfolFpZf","Female","24","Less than 20000€","17","Austria",1,"Stranger",1
"R_2uxrYaXjxs9lFlr","Male","26","30000 € - 40000 €","20","Austria",3,"Stranger",1
"R_24oQEIEewJccBbw","Male","24","20000 € - 30000 €","9","Austria",3,"Stranger",1
"R_0MWQLRMvqzEqUGB","Female","23","Less than 20000€","7","Austria",2,"Stranger",0
"R_3sbu9nXRnyIHKJ8","Female","37","50000 € - 60000 €","30","Austria",4,"Stranger",1
"R_1Q0z7t0iWBuxf0X","Female","23","20000 € - 30000 €","15","Austria",3,"Stranger",1
"R_3ReKP81jrFV8ElX","Female","32","50000 € - 60000 €","20","Austria",4,"Stranger",1
"R_1mUvASNGaKO3q8U","Male","24","Prefer not to answer","16","Austria",3,"Stranger",1
"R_ujPK0bRgTswyHnj","Female","34","50000 € - 60000 €","12","Austria",3,"Stranger",1
"R_01EVG5DAaxe2y3f","Female","30","20000 € - 30000 €","21","Austria",0,"Stranger",1
"R_3HChIniDBf8WdE5","Female","33","20000 € - 30000 €","20","Austria",3,"Stranger",1
"R_3HnOP7h1RHmcRYw","Male","23","Less than 20000€","16","Austria",2,"Stranger",1
"R_2s1lk6adGygrWUx","Male","24","Less than 20000€","14","Austria",1,"Stranger",1
"R_3g9TP572SNc7XQl","Male","21","Less than 20000€","14","Austria",4,"Stranger",1
"R_2Bba9u7P8NrcZmT","Female","32","Less than 20000€","9","Austria",2,"Stranger",1
"R_snWMcZo2zObZ5cZ","Female","27","Less than 20000€","16","Austria",3,"Stranger",1
"R_2th62iUX00PkbgA","Female","20","Less than 20000€","15","Austria",3,"Stranger",0
"R_2odoh9sfg4sQrwR","Female","67","40000 € - 50000 €","14","Austria",2,"Stranger",1
"R_1LiNAA4zQIfTBlA","Female","68","30000 € - 40000 €","18","Austria",3,"Stranger",1
"R_1CfHcSeC9h9yTrg","Non-binary / third gender","23","20000 € - 30000 €","11","Austria",1,"Stranger",1
"R_3Du5j0mdRlfYDfR","Female","49","Less than 20000€","15","Austria",2,"Stranger",1
"R_1K852ZYHWoP8eGS","Female","20","Less than 20000€","14","Austria",1,"Stranger",0
"R_2fpyBj2Xtcck3Ir","Non-binary / third gender","28","20000 € - 30000 €","13","Austria",1,"Stranger",1
"R_2U5iIDdfYPJt02T","Male","38","20000 € - 30000 €","10","Austria",2,"Stranger",1
"R_2Sv53IDtDTHJgVC","Female","28","30000 € - 40000 €","12","Austria",3,"Stranger",0
"R_2pXCTYeRZReyiZ8","Female","23","20000 € - 30000 €","12","Austria",1,"Stranger",1
"R_1gIrDiVTqYK1meY","Male","35","20000 € - 30000 €","5","Austria",4,"Stranger",0
"R_Wr3grOlbezVi5jP","Non-binary / third gender","19","Less than 20000€","11","Austria",2,"Stranger",1
"R_Rep0HLUJeq5Ebv3","Female","25","20000 € - 30000 €","14","Austria",1,"Stranger",1
"R_3JIyh2d630xfpOt","Prefer not to say","21","20000 € - 30000 €","15","Austria",4,"Stranger",1
"R_OwDXOQOCls5O33X","Male","33","40000 € - 50000 €","18","Austria",2,"Stranger",1
"R_OvtLTu2p45J3k6B","Male","24","Less than 20000€","17","Austria",3,"Stranger",1
"R_1OpFOpIQmhS0eBf","Male","40","40000 € - 50000 €","8","Austria",4,"Stranger",1
"R_cunQlVIQnmtCafn","Female","19","Less than 20000€","14","Austria",1,"Stranger",0
"R_3p6d6IpFAwMvnsE","Male","32","30000 € - 40000 €","12","Austria",3,"Stranger",0
"R_1hZ4JZ61XuuYkRC","Female","28","50000 € - 60000 €","17","Austria",3,"Stranger",1
"R_2ckeJ5HoW5EaLkU","Female","22","Less than 20000€","7","Austria",2,"Stranger",1
"R_1OMFx5818vk9sgC","Female","34","30000 € - 40000 €","12","Austria",3,"Stranger",1
"R_12lubvGTUNJrVVc","Male","36","40000 € - 50000 €","11","Austria",3,"Stranger",0
"R_3g5TxGf9LXOTHt3","Non-binary / third gender","20","Less than 20000€","15","Austria",0,"Stranger",1
"R_vGM7VBZPKHOsBFv","Female","25","Less than 20000€","14","Austria",1,"Stranger",1
"R_3EnCbeND5jIV979","Female","29","20000 € - 30000 €","13","Austria",3,"Stranger",1
"R_2ahSv1HOS8KhB51","Female","21","20000 € - 30000 €","15","Austria",3,"Stranger",1
"R_1FhrwehsMjmy1We","Female","25","30000 € - 40000 €","18","Austria",3,"Stranger",1
"R_3nrBd7IDfzXqtf6","Female","31","40000 € - 50000 €","16","Austria",2,"Stranger",1
